individual species PC1 PC2
1 6 0.268088375049093 0.169417297204542
2 6 0.128316552008249 0.21130450075166
3 6 0.177092901989474 0.100740957741759
4 6 0.273412895574555 0.257803114604899
5 6 0.157676423285316 0.145377006296047
6 6 0.146724463748216 0.318808928655587
7 6 0.24380580486544 0.302775712458184
8 6 0.309691802715464 0.0520123845391421
10 6 0.320344976295064 0.184356666249882
11 6 0.00980484764725957 0.00507423268626141
12 6 0.225642555238911 0.217242703868066
13 6 0.133041979194638 0.207642804890463
14 6 0.255266497948653 0.142870704193203
15 6 0.211148280205282 0.175373629447441
16 6 0.213205349604352 0.218475364717685
17 6 0.0528027967176166 0.15433893173359
18 6 0.161101573737415 0.0914721445666063
19 6 0.331231964094216 0.232045216117506
20 6 0.147196018769063 0.0981721338845171
21 6 0.446465162282457 0.219229577727798
22 6 0.194254093983987 0.0554053292622328
23 6 0.104410801047876 0.00698135272136777
24 6 0.394727805461252 0.260410736149862
25 6 0.0835468765899505 0.205102537611688
26 6 0.334857036478891 0.0515105832365945
27 6 0.0525251240568265 0.149345554407754
28 6 0.261092617634558 0.0292163252365157
30 3 0.450040186532844 0.238995884429799
31 3 0.636144274915224 0.14255254691129
32 3 0.57358531405585 0.0247044986014738
33 3 0.496925440016319 0.183394697776594
34 3 0.634603492292536 0.131302666540129
35 3 0.476957480590828 0.0250704317438935
36 3 0.643075465278256 0.0656874821959479
37 6 0.258051252527659 0.0907113359218891
38 6 0.168522885300637 0.212024032612236
39 6 0.155621477601604 0.126737759300961
40 6 0.0978215829938787 0.159474329386316
42 1 -0.474888460816032 0.185278269304578
43 1 -0.454494449592396 0.112549388000584
44 1 -0.53660382531805 0.107694355213281
45 1 -0.469356685096076 0.0163969351414241
46 1 -0.389803308913626 0.106027207627006
47 1 -0.464596349776781 0.140421303526345
48 1 -0.453322233789062 0.155404579718693
49 1 -0.351140531352541 0.151893083611316
50 2 -0.471081858999313 0.0416980049787172
51 1 -0.568188651991956 -2.60722337837999e-06
52 1 -0.448009776713047 0.129254224139692
53 1 -0.395235668332177 0.144681593295435
54 1 -0.423551770549272 0.146929968943497
56 1 -0.332706788728506 0.0905414363954019
57 1 -0.420700838761267 0.121182860673061
58 1 -0.4492757650402 0.133797974287221
59 1 -0.530507112489007 0.0576995364174819
60 1 -0.489491360721141 0.227107327436608
61 1 -0.470169110728326 0.306366799384393
62 1 -0.493930365471866 0.158133340569582
63 1 -0.521688350822694 0.135880165846169
64 2 -0.300915988803641 -0.0710866220777447
65 2 -0.337265943519789 0.0578635350085198
66 2 -0.529014869434381 -0.0105264972455441
67 2 -0.287994571034523 0.0174841948955904
68 2 -0.330283116110392 0.0282358977490092
69 2 -0.203263171211209 0.0459274050371928
70 2 -0.503128050478194 -0.0424261785959863
71 2 -0.423063605156342 0.0219328282983163
72 2 -0.570127848531278 0.149901097349401
73 5 0.177080410816591 -0.133693574225835
74 5 -0.00761437053683829 -0.240117923722207
75 5 0.0345357578508245 -0.0948005566941375
76 4 0.0252614268894501 -0.191941211879523
77 5 0.260598266279651 -0.178198572107479
78 5 0.0248008723369098 -0.241115756397727
79 4 0.0513040620896456 -0.197652933635333
80 4 -0.0884794968087749 -0.108599361918917
81 4 0.113609157417852 0.0241031793372924
82 5 -0.0905337031512343 -0.141660853716859
83 4 -0.125637662245592 -0.117384207264411
84 4 0.0967058788864051 -0.123283467805689
85 4 0.0758935901084391 -0.159019744148063
86 4 -0.0279446780267609 -0.133865455287948
87 4 -0.129941806914999 -0.206700743499514
88 4 0.149488317164719 -0.14316399907563
90 5 0.152069882252023 -0.0711481512104228
91 5 0.321792645076322 -0.103533587379416
92 5 0.0566831009790143 -0.141606817288977
93 5 0.195368987434263 -0.0957243475587434
94 5 0.0252266392500075 -0.114332427850693
95 5 0.0782280507615677 -0.0902783833407969
96 5 0.20115781837056 -0.0578586406999217
97 5 0.174457285441475 -0.060656008385882
98 5 0.0653833626722394 -0.0775728533406818
99 5 0.154643374104371 -0.0686154763343944
100 5 0.136862649762882 -0.0706952186111697
101 5 0.186682211528214 -0.127637667876188
102 4 -0.0309901023383299 -0.260029477657472
103 4 0.266246758038663 -0.113153773572224
104 5 -0.0147771053004347 -0.204777756300537
105 5 0.0143923863232129 -0.191416274490726
106 5 0.10743635985541 -0.105479873294676
107 4 -0.0232441130096875 -0.221185630670823
108 4 0.0765301235618698 -0.0657961779676522
109 4 0.0806734961042433 0.0153605258225008
110 4 -0.107167977505851 -0.18726906288207
111 5 -0.0730564676725544 -0.155896460969795
112 5 0.1651911583063 -0.156805186342294
113 4 -0.161803324473953 -0.198549927774897
114 4 -0.191597539224944 -0.239246473989921
115 4 0.113540311445881 -0.173775911828713
116 5 -0.015781524055043 -0.177055320191668
117 5 -0.0485266880346022 -0.18545859711405
118 5 0.0229028175201115 -0.161515992149201
119 5 0.089579558764288 -0.11380485358112
120 5 -0.0995289316933536 -0.195338328175379
121 5 -0.00611919501090815 -0.212419887321179
122 5 0.150434639844666 -0.0173623365938902
123 5 -0.0607622138706015 -0.204030482797568
124 5 -0.216669996837804 -0.14250487383703
125 5 0.034872499413045 -0.188396066176718
128 5 0.0655501365351827 -0.0208682314654776
129 5 0.0868449945795285 -0.0913988221689208
130 5 0.0324090348133974 -0.163633775560445
132 5 -0.0626667176289634 -0.176244681350973
133 5 0.151555283314323 -0.199731943487471
134 5 0.208738247323756 -0.0985998333772805
135 5 0.0456805362026108 -0.167802838147006
136 5 -0.0225924751252882 -0.288460416753288
